nlp-input-text-0, "Munchkin is a wonderful game for the card loving role playing game enthusiast. It is a great game in that there are an infinite combination in the cards making every game more unique with every expansion that you add to it. I would recommend unnatural axe to you."
nlp-input-text-1, "My daughter received this in her easter basket (at 16 months old).  She gets such a kick out of this duck.  At first she found it absolutly hysterical that when she pulled the string it follows her.  She loves pulling it around the house and its very sturdy and doesn't tip over all the time.  We have carpeting and hardwood floors and it works fine on both.  She has even taken it outside and it works well there too (on the sidewalk).  We have had this toy for over 2 months and my daughter enjoys it immensely.  I highly recommend it.  It's one of her favorite toys that she uses daily."
nlp-input-text-2, "Took me over 2 hours to assemble this toy...had to keep shooing my kid to the next room so she won't walk away with any of the pieces...Like everyone else who dislike the assembling part, I was quite disappointed to see a bunch of plastic pieces stuck together in "clusters" that I had to physically cut apart b4 attempting to assemble...this took FOREVER, not to mention finding the right piece that matches the instruction AND making sure after it's cut out that it doesn't get lost!!why couldn't the manufacturer put the modules together into larger, assembled pieces and all parents have to do is put together those modules (ie fridge, stove, microwave etc) onto the frame itself? Why make it so difficult for us to have to start "from scratch" in cutting out EACH INDIVIDUAL plastic piece from various clusters? And what I find even more terrible is that we have to also put those stickers that indicate where the switches are on the dish washer, microwave etc...can't they put that together b4 shipping it out?If it weren't for the price I would not have gotten this item. But even so, the saving is not enough to justify the time it takes to assemble this thing, especially when you have a kid waiting impatiently to play w/ it...I jammed several fingers w/ the screw driver as I was trying to keep my kid happy and assemble this thing at the same time..."
nlp-input-text-3, "was surprised to get the new figures instead of the original, colorful, chunkier people.  think our son may have liked them better. the new designed people are ok but the original were more colorful and looked like they were going on vacation - more to talk to your child with and pretend.  the new girl looks shy and is ok, the boy is athletic, and the pilot does not look like a pilot. when you have a special needs child - you want to have things to point out and talk about. he is not interested in them and only plays with the plane. not a real problem but just a heads up for those buying this plane."
nlp-input-text-4, "This adorable little coffee maker is just the right size for my daughter's play kitchen. Very durable and cute!! Only gripe (reason for 4 stars), my daughter was looking for something to come out, or happen, maybe some type of sound. She loves the coffee maker and totally uses her imagination when making coffee for daddy in the morning. Over all, wonderful coffee maker (would recommend!)and found all Educo products to be great, so far."
nlp-input-text-5, "We got this for our 10-year-old daughter who loves to play football at school. They like the nerf-type footballs and this one fits the bill perfectly. Good size for her hands and the other kids enjoy it, too. The strip around it makes it very unique and that's cool. Before it got really cold we played with it outside in dusk and it was a lot of fun. Easy to throw and catch. Plus, it's held up very well, even after being dropped - or thrown - onto the driveway several times! Highly recommend for younger ones especially."
nlp-input-text-6, "We played it with our daughter when she was the same age as our grandson who is seven years old.We all had fun now as we did then."
nlp-input-text-7, "My son got this tool set as a gift for his 2nd birthday. It has been his favorite since the day he got it. He is now 3 years old and it still remains one of his favorites. I was looking into getting the bench also so that he can have it more elevated. He even takes the tools with him to help my husband with household projects."
nlp-input-text-8, "my great-grandsons really enjoyed this tunnel. they raced one another through and through for a long time, laughing a lot. it's very easy to tie back together having velcro grips. it also connects easily to other tunnels."
nlp-input-text-9, "The Tonka Chuck & Friends Flip the Bounce Back Racer is okay for three- to six-year-olds but older children get bored quickly.  With two cars they could race them, but with one car, the fun is limited to bumping into things and chasing each other going backwards & forwards, either inside or on a hard surface outdoors, as there is no steering mechanism.It will run up a slope with enough speed and, with some practice, flip over, at least sometimes.  The car also speaks enthusiastically and the little ones loved that although I found it annoying after just a few minutes.The car and remote together take a total of eight AA batteries (which I was surprised to find are NOT included) so I suggest rechargeableeneloops.Overall, it is reasonably well-made for a plastic toy."
